Date,Open,High,Low,Close,Volume,Adj Close
2013-03-19,7980.54,8000.97,7919.45,7947.79,32832900,7947.79
2013-03-18,7924.04,8020.91,7901.94,8010.70,30118900,8010.70
2013-03-15,8074.03,8074.47,7996.95,8042.85,73586300,8042.85
2013-03-14,8013.25,8060.26,8011.22,8058.37,35605000,8058.37
2013-03-13,7964.77,7978.84,7942.37,7970.91,26484000,7970.91
2013-03-12,7970.83,7999.50,7933.94,7966.12,24719200,7966.12
2013-03-11,7967.46,7989.21,7954.58,7984.29,20939200,7984.29
2013-03-08,7970.66,8015.07,7962.28,7986.47,32136300,7986.47
2013-03-07,7934.19,7956.26,7911.56,7939.77,29303300,7939.77
2013-03-06,7907.39,7977.64,7898.04,7919.33,32329800,7919.33
2013-03-05,7779.62,7883.60,7772.33,7870.31,37153700,7870.31
2013-03-04,7654.67,7708.88,7637.32,7691.68,21488000,7691.68
2013-03-01,7735.35,7767.67,7627.99,7708.16,30626000,7708.16
2013-02-28,7712.20,7753.39,7691.81,7741.70,30571400,7741.70
2013-02-27,7641.84,7679.44,7565.78,7675.83,27156000,7675.83
2013-02-26,7682.24,7683.96,7589.32,7597.11,38841300,7597.11
2013-02-25,7731.80,7860.57,7726.40,7773.19,42329700,7773.19
2013-02-22,7619.81,7681.12,7607.26,7661.91,32936400,7661.91
2013-02-21,7681.61,7688.44,7561.84,7583.57,33491400,7583.57
2013-02-20,7747.21,7784.64,7709.48,7728.90,26456500,7728.90
2013-02-19,7614.10,7762.90,7611.60,7752.45,29184200,7752.45
2013-02-18,7591.08,7629.78,7568.16,7628.73,18147200,7628.73
2013-02-15,7636.26,7649.50,7588.57,7593.51,31446500,7593.51
2013-02-14,7697.89,7729.36,7607.48,7631.19,23482900,7631.19
2013-02-13,7678.48,7737.41,7650.29,7711.89,24106100,7711.89
2013-02-12,7619.12,7661.97,7593.66,7660.19,25135400,7660.19
2013-02-11,7627.72,7676.82,7597.61,7633.74,21851000,7633.74
2013-02-08,7607.57,7655.31,7577.34,7652.14,26912200,7652.14
2013-02-07,7581.37,7661.31,7565.32,7590.85,34190800,7590.85
2013-02-06,7665.88,7694.42,7537.29,7581.18,33199400,7581.18
2013-02-05,7643.54,7677.14,7622.30,7664.66,31721400,7664.66
2013-02-04,7822.54,7837.64,7637.68,7638.23,37356000,7638.23
2013-02-01,7792.59,7853.37,7784.97,7833.39,30495400,7833.39
2013-01-31,7800.45,7812.34,7765.20,7776.05,34102100,7776.05
2013-01-30,7855.68,7863.35,7775.03,7811.31,27707000,7811.31
2013-01-29,7841.96,7857.14,7800.12,7848.57,24837800,7848.57
2013-01-28,7859.83,7871.79,7831.72,7833.00,22722100,7833.00
2013-01-25,7746.78,7865.16,7743.19,7857.97,29292700,7857.97
2013-01-24,7700.53,7753.30,7661.96,7748.13,25213900,7748.13
2013-01-23,7702.92,7731.63,7684.84,7707.54,26663400,7707.54
2013-01-22,7741.88,7746.91,7634.26,7696.21,29306200,7696.21
2013-01-21,7727.77,7749.82,7719.02,7748.86,15688700,7748.86
2013-01-18,7747.13,7753.49,7702.23,7702.23,30164400,7702.23
2013-01-17,7677.28,7764.03,7662.43,7735.46,26786500,7735.46
2013-01-16,7661.61,7694.80,7643.14,7691.13,25992200,7691.13
2013-01-15,7704.05,7735.21,7635.88,7675.91,31299500,7675.91
2013-01-14,7737.61,7785.82,7702.36,7729.52,24562900,7729.52
2013-01-11,7725.93,7731.45,7683.92,7715.53,25558300,7715.53
2013-01-10,7732.14,7773.69,7685.08,7708.47,29723400,7708.47
2013-01-09,7713.57,7734.78,7688.55,7720.47,27859700,7720.47
2013-01-08,7710.70,7754.38,7683.48,7695.83,23757000,7695.83
2013-01-07,7760.01,7767.55,7713.42,7732.66,26222500,7732.66
2013-01-04,7740.99,7779.67,7727.55,7776.37,20784400,7776.37
2013-01-03,7762.13,7777.02,7737.98,7756.44,20254200,7756.44
2013-01-02,7689.46,7789.94,7689.46,7778.78,32821400,7778.78
2012-12-31,7612.39,7612.39,7612.39,7612.39,000,7612.39
2012-12-28,7649.89,7665.68,7602.89,7612.39,11613000,7612.39
2012-12-27,7652.27,7676.50,7640.30,7655.88,16303200,7655.88
2012-12-26,7636.23,7636.23,7636.23,7636.23,000,7636.23
2012-12-24,7636.23,7636.23,7636.23,7636.23,000,7636.23
2012-12-21,7632.41,7653.73,7596.64,7636.23,55284000,7636.23
2012-12-20,7642.99,7675.45,7635.39,7672.10,22633700,7672.10
2012-12-19,7675.33,7682.90,7655.71,7668.50,28723600,7668.50
2012-12-18,7634.28,7667.91,7626.25,7653.58,26052700,7653.58
2012-12-17,7604.16,7627.14,7564.07,7604.94,21421600,7604.94
2012-12-14,7599.03,7619.26,7571.16,7596.47,23848200,7596.47
2012-12-13,7618.62,7618.62,7561.96,7581.98,30439000,7581.98
2012-12-12,7595.20,7626.40,7590.18,7614.79,25473400,7614.79
2012-12-11,7529.24,7596.90,7518.74,7589.75,26986200,7589.75
